"productName","productFinalPrice","discounts","productRealPrice","vendor","location","rate"
"LAZIZI Rendang Ayam Suwir 900gr","Rp 255.000","0%","Rp 255.000","Pesona Nusantara","Jakarta Barat","0"
"LAZIZI Tiram Balado 150gr","Rp 45.000","0%","Rp 45.000","Pesona Nusantara","Jakarta Barat","0"
"NYEKERMEN Ceker Duduk Manis Isi 10pcs","Rp 30.000","0%","Rp 30.000","Pesona Nusantara","Jakarta Barat","0"
"NYEKERMEN Sayap Melilit Isi 5pcs","Rp 52.000","0%","Rp 52.000","Pesona Nusantara","Jakarta Barat","0"
"MrJelly Coklat 30 gr","Rp 5.000","0%","Rp 5.000","Natura International","Jakarta Barat","5"
"IKO RENDANG Makanan Kemasan 250 Gr Rendang Sapi Kering","Rp 68.000","0%","Rp 68.000","Iko Rendang","Tangerang","5"
"LOC Ikan Asin Jambrong / Lumbon / Sitting Duri Lunak 1 Kg","Rp 78.000","0%","Rp 78.000","Jambal Roti Cilacap","Cilacap","0"
"Doris Bedak Kutu N Medicated For Dog N Cat 100 ml","Rp 20.200","0%","Rp 20.200","Haagen Petshop","Jakarta Barat","0"
"Hills Science Diet Adult Small N Toy 2Kg","Rp 141.400","0%","Rp 141.400","Haagen Petshop","Jakarta Barat","0"
"Naget Ikan Original 400 gr","Rp 24.000","0%","Rp 24.000","MINAKU SHOP","Padang","0"
"MrJelly Melon 15 gr","Rp 4.000","0%","Rp 4.000","Natura International","Jakarta Barat","0"
"CHRISTINE HAKIM Rendang Basah 250gr","Rp 60.000","0%","Rp 60.000","Kripik Balado Christine Hakim","Padang","0"
"Edgell Slices Beetroot 425gr","Rp 30.000","0%","Rp 30.000","CV. Tigana Sukses","Tangerang","0"
"Paldo Bulnak Bokkumyun Noodle / Hot Spicy Octopus Ramen - Mie Instan","Rp 14.500","0%","Rp 14.500","indofresco","Jakarta Barat","5"
"IKO RENDANG Makanan Kemasan 250 Gr Rendang Sapi Basah","Rp 68.000","0%","Rp 68.000","Iko Rendang","Tangerang","5"
"NONGSHIM Shin Ramyun 16 x 117 Gr","Rp 211.616","0%","Rp 211.616","Warung Sukanda","Bekasi","0"
"NONGSHIM Korean Clay Pot Ramyun 30 x 120 Gr","Rp 256.980","0%","Rp 256.980","Warung Sukanda","Bekasi","0"
"NONGSHIM Korean Clay Pot Ramyun 16 x 117 Gr","Rp 211.616","0%","Rp 211.616","Warung Sukanda","Bekasi","0"
"LAZIZI Black Pepper Jamur Tiram 150gr","Rp 45.000","0%","Rp 45.000","Pesona Nusantara","Jakarta Barat","0"
"NYEKERMEN Sayap Duduk Manis Isi 5pcs","Rp 42.000","0%","Rp 42.000","Pesona Nusantara","Jakarta Barat","0"
"Sajo Dangmyeon / Korea Vermicelli / Soun Korea 500 gr","Rp 85.000","0%","Rp 85.000","indofresco","Jakarta Barat","0"
"Jamur Putih","Rp 80.000","0%","Rp 80.000","Toko Ratna","Surakarta (solo)","0"
"Faika Shop Shrimp Roll Isi 10","Rp 17.200","0%","Rp 17.200","Faika Shop","Jakarta Timur","0"
"LAZIZI Black Pepper Sapi Suwir 150gr","Rp 54.000","0%","Rp 54.000","Pesona Nusantara","Jakarta Barat","0"
"LOC Ikan Asin Lendra / Ikan Lidah Kering 1 Kg","Rp 77.000","0%","Rp 77.000","Jambal Roti Cilacap","Cilacap","5"
"Kanokwan All Purposes Stir Fry Sauce 200gr","Rp 35.000","0%","Rp 35.000","CV. Tigana Sukses","Tangerang","5"
"Nasi Liwet Instant Beras Spesial Ekstra Ikan Isi 3pcs","Rp 70.000","0%","Rp 70.000","Pesona Nusantara","Jakarta Barat","0"
"NONGSHIM Shin Ramyun 24 x 72 Gr","Rp 241.848","0%","Rp 241.848","Warung Sukanda","Bekasi","0"
"Faika Shop Ebi Furay Isi 6","Rp 17.200","0%","Rp 17.200","Faika Shop","Jakarta Timur","0"
"Faika Shop Kani Roll Isi 8","Rp 17.200","0%","Rp 17.200","Faika Shop","Jakarta Timur","0"
"LAZIZI Rendang Sapi Suwir No Chili 150gr","Rp 54.000","0%","Rp 54.000","Pesona Nusantara","Jakarta Barat","0"
"LAZIZI Rendang Daging Sapi 900gr","Rp 306.000","0%","Rp 306.000","Pesona Nusantara","Jakarta Barat","0"
"LAZIZI Rendang Sapi Suwir 150gr","Rp 54.000","0%","Rp 54.000","Pesona Nusantara","Jakarta Barat","0"
"LAZIZI Rendang Ayam Suwir No Chili 150gr","Rp 45.000","0%","Rp 45.000","Pesona Nusantara","Jakarta Barat","0"
"Faika Shop Spicy Chicken Isi 10","Rp 17.000","0%","Rp 17.000","Faika Shop","Jakarta Timur","0"
"Nasi Bakar Bandeng Pack","Rp 17.000","0%","Rp 17.000","Depo Ikan","Tangerang Selatan","0"
"Super Cat All Varian Pounch 85 Gram","Rp 6.100","0%","Rp 6.100","Haagen Petshop","Jakarta Barat","0"
"Hills Science Diet Sensitive Skin 12Kg","Rp 797.900","0%","Rp 797.900","Haagen Petshop","Jakarta Barat","0"
"LAZIZI Rica Rica Ayam Suwir 150gr","Rp 45.000","0%","Rp 45.000","Pesona Nusantara","Jakarta Barat","0"
"Kurma Azwa 1/2 kg (500 gr)","Rp 227.000","0%","Rp 227.000","khalifah","Depok","0"
"Jagoan Dendeng Enaaak Pedas Sapi Masak 100 Gr","Rp 58.000","0%","Rp 58.000","Jagoan Dendeng","Jakarta Barat","5"
"MAMA KIMO Sambal Bawang Jengkol","Rp 29.500","0%","Rp 29.500","toserda","Bandung","0"
"POGER Pampis Tongkol Pedas","Rp 28.000","0%","Rp 28.000","Poger Foods","Surabaya","0"
"Bronco Kalengan Dog Food Made In Newzealand","Rp 36.400","0%","Rp 36.400","Haagen Petshop","Jakarta Barat","0"
"IKO RENDANG Makanan Kemasan 250 Gr Dendeng Sapi Balado","Rp 68.000","0%","Rp 68.000","Iko Rendang","Tangerang","4.89"
"NY LAUW Dodol Betawi Asli Khas Tangerang 200gr","Rp 19.500","0%","Rp 19.500","Duta Cake","Tangerang Selatan","5"
"Catering Menu B","Rp 60.000","0%","Rp 60.000","MADANI WEDDING CATERING","Padang","0"
"Kripik Balado 250 gr BULAT Christine Hakim / Sanjai Balado","Rp 23.000","0%","Rp 23.000","Kripik Balado Christine Hakim","Padang","0"
"OTTOGI Cheese Ramen","Rp 18.000","0%","Rp 18.000","Morning Chocolate","Jakarta Barat","0"
"LOC Ikan Asin Bulu Ayam / Bilis Ukuran Besar 250 Gram","Rp 20.000","0%","Rp 20.000","Jambal Roti Cilacap","Cilacap","0"
